Angoche,Angoche,Mozambique,ANO,FQAG,
Nampula,Nampula,Mozambique,APL,FQNP,
Abeche,,Chad,AEH,FTTC,
Ati,Ati,Chad,ATV,FTTI,
Am Timan,Am Timan,Chad,AMC,FTTN,
Mao,Mao,Chad,AMO,FTTU,
Arandis,Arandis,Namibia,ADI,FYAR,
Akieni,Akieni,Gabon,AKE,,
Lanzarote,Lanzarote Island,Spain,ACE,GCRR,
Airport,City,Country,IATA,ICAO,FAA
Al Massira,Agadir,Morocco,AGA,GMAD,
Cherif Al Idrissi,Al Hoceima,Morocco,AHU,GMTA,
Aioun el Atrouss,Aioun El Atrouss,Mauritania,AEO,GQNA,
Akjoujt,Akjoujt,Mauritania,AJJ,GQNJ,
Atar International,Atar,Mauritania,ATR,GQPA,
Bole International,Addis Ababa,Ethiopia,ADD,HAAB,
Arba Minch,,Ethiopia,AMH,HAAM,
Axum,,Ethiopia,AXU,HAAX,
Kabri Dehar,Kabri Dehar,Ethiopia,ABK,HAKD,
Awassa,Awassa,Ethiopia,AWA,HALA,
Asosa,Asosa,Ethiopia,ASO,HASO,
Alula,Alula,Somalia,ALU,HCMA,
Ali-Sabieh,Ali-Sabieh,Djibouti,AII,HDAS,
El Arish International,El Arish,Egypt,AAC,HEAR,
Assiut International,Assiut,Egypt,ATZ,HEAT,
Airport,City,Country,IATA,ICAO,FAA
El Nouzha,Alexandria,Egypt,ALY,HEAX,
Abu Simbel,Abu Simbel,Egypt,ABS,HEBL,
Aswan International,Aswan,Egypt,ASW,HESN,
Asmara International,Asmara,Eritrea,ASM,HHAS,
Assab International,Asab,Eritrea,ASA,HHSB,
Amboseli,Amboseli National Park,Kenya,ASV,HKAM,
Kufra,Kufra,Libya,AKF,HLKF,
Atbara,Atbara,Sudan,ATB,HSAT,
Arusha,Arusha,Tanzania,ARK,HTAR,
Apalapsili,Apalapsili,Indonesia,AAS,,
Anggi,Anggi-Papua Island,Indonesia,AGD,,
Gunung Batin,Astraksetra-Sumatra Island,Indonesia,AKQ,,
Ayawasi,Ayawasi-Papua Island,Indonesia,AYW,,
Animas Air Park,Durango,United States,AMK,,K00C
Ardmore Downtown Executive,Ardmore,United States,AHD,,
Airport,City,Country,IATA,ICAO,FAA
Arapahoe Municipal,Arapahoe,United States,AHF,,
Antlers Municipal,Antlers,United States,ATE,,K80F
Austin,Austin,United States,ASQ,KTMT,
Apalachicola Regional,Apalachicola,United States,AAF,KAAF,
Lehigh Valley International,Allentown,United States,ABE,KABE,
Abilene Regional,Abilene,United States,ABI,KABI,
Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,
Aberdeen Regional,Aberdeen,United States,ABR,KABR,
Southwest Georgia Regional,Albany,United States,ABY,KABY,
Antrim County,Bellaire,United States,ACB,KACB,
Nantucket Memorial,Nantucket,United States,ACK,KACK,
Waco Regional,Waco,United States,ACT,KACT,
Arcata,Arcata/Eureka,United States,ACV,KACV,
Atlantic City International,Atlantic City,United States,ACY,KACY,
Lenawee County,Adrian,United States,ADG,KADG,
Airport,City,Country,IATA,ICAO,FAA
Ada Municipal,Ada,United States,ADT,KADH,
Ardmore Municipal,Ardmore,United States,ADM,KADM,
Addison,Dallas,United States,ADS,KADS,
Andrews Air Force Base,Camp Springs,United States,ADW,KADW,
Albert Lea Municipal,Albert Lea,United States,AEL,KAEL,
Alexandria International,Alexandria,United States,AEX,KAEX,
USAF Academy Airfield,Colorado Springs,United States,AFF,KAFF,
Jaffrey Silver Ranch,Jaffrey,United States,AFN,KAFN,
Afton Municipal,Afton,United States,AFO,KAFO,
Fort Worth Alliance,Fort Worth,United States,AFW,KAFW,
Allegheny County,Pittsburgh,United States,AGC,KAGC,
Magnolia Municipal,Magnolia,United States,AGO,KAGO,
Augusta Regional At Bush Field,Augusta,United States,AGS,KAGS,
Amedee Army Air Field,Herlong,United States,AHC,KAHC,
Amery Municipal,Amery,United States,AHH,KAHH,
Airport,City,Country,IATA,ICAO,FAA
Athens Ben Epps,Athens,United States,AHN,KAHN,
Alliance Municipal,Alliance,United States,AIA,KAIA,
Anderson Municipal Darlington Field,Anderson,United States,AID,KAID,
Aiken Municipal,Aiken,United States,AIK,KAIK,
Atlantic Municipal,Atlantic,United States,AIO,KAIO,
George Downer,Aliceville,United States,AIV,KAIV,
Atlantic City Municipal Bader Field,Atlantic City,United States,AIY,KAIY,
Lee C Fine Memorial,Kaiser Lake Ozark,United States,AIZ,KAIZ,
Colorado Plains Regional,Akron,United States,AKO,KAKO,
Akron Fulton International,Akron,United States,AKC,KAKR,
Albany International,Albany,United States,ALB,KALB,
Alice International,Alice,United States,ALI,KALI,
Alamogordo White Sands Regional,Alamogordo,United States,ALM,KALM,
St Louis Regional,Alton/St Louis,United States,ALN,KALN,
Waterloo Regional,Waterloo,United States,ALO,KALO,
Airport,City,Country,IATA,ICAO,FAA
San Luis Valley Regional Bergman Field,Alamosa,United States,ALS,KALS,
Walla Walla Regional,Walla Walla,United States,ALW,KALW,
Thomas C Russell Field,Alexander City,United States,ALX,ADDE,
Rick Husband Amarillo International,Amarillo,United States,AMA,KAMA,
Gratiot Community,Alma,United States,AMN,KAMN,
Ames Municipal,Ames,United States,AMW,KAMW,
Anniston Metropolitan,Anniston,United States,ANB,KANB,
Anderson Regional,Anderson,United States,AND,KAND,
Lee,Annapolis,United States,ANP,KANP,
Tri State Steuben County,Angola,United States,ANQ,KANQ,
Ainsworth Municipal,Ainsworth,United States,ANW,KANW,
Anthony Municipal,Anthony,United States,ANY,KANY,
Lima Allen County,Lima,United States,AOH,KAOH,
Altoona Blair County,Altoona,United States,AOO,KAOO,
Centennial,Denver,United States,APA,KAPA,
Airport,City,Country,IATA,ICAO,FAA
Napa County,Napa,United States,APC,KAPC,
Naples Municipal,Naples,United States,APF,KAPF,
Phillips Army Air Field,Aberdeen Proving Grounds(Aberdeen),United States,APG,KAPG,
A P Hill Aaf (Fort A P Hill),Fort A. P. Hill,United States,APH,KAPH,
Alpena County Regional,Alpena,United States,APN,KAPN,
Marion County Brown Field,Jasper,United States,APT,KAPT,
Apple Valley,Apple Valley,United States,APV,KAPV,
Acadiana Regional,New Iberia,United States,ARA,KARA,
Ann Arbor Municipal,Ann Arbor,United States,ARB,KARB,
Walnut Ridge Regional,Walnut Ridge,United States,ARG,KARG,
Aurora Municipal,Chicago/Aurora,United States,AUZ,KARR,
Watertown International,Watertown,United States,ART,KART,
Lakeland-Noble F. Lee Memorial field,Minocqua-Woodruff,United States,ARV,KARV,
Aspen-Pitkin Co/Sardy Field,Aspen,United States,ASE,KASE,
Boire Field,Nashua,United States,ASH,KASH,
Airport,City,Country,IATA,ICAO,FAA
Harrison County,Marshall,United States,ASL,KASL,
Talladega Municipal,Talladega,United States,ASN,KASN,
Astoria Regional,Astoria,United States,AST,KAST,
John F Kennedy Memorial,Ashland,United States,ASX,KASX,
Ashley Municipal,Ashley,United States,ASY,KASY,
Hartsfield Jackson Atlanta International,Atlanta,United States,ATL,KATL,
Artesia Municipal,Artesia,United States,ATS,KATS,
Outagamie County Regional,Appleton,United States,ATW,KATW,
Watertown Regional,Watertown,United States,ATY,KATY,
Augusta State,Augusta,United States,AUG,KAUG,
Austin Municipal,Austin,United States,AUM,KAUM,
Auburn Municipal,Auburn,United States,AUN,KAUN,
Auburn Opelika Robert G. Pitts,Auburn,United States,AUO,KAUO,
Austin Bergstrom International,Austin,United States,AUS,KAUS,
Wausau Downtown,Wausau,United States,AUW,KAUW,
Airport,City,Country,IATA,ICAO,FAA
Asheville Regional,Asheville,United States,AVL,KAVL,
Avon Park Executive,Avon Park,United States,AVO,KAVO,
Wilkes Barre Scranton International,Wilkes-Barre/Scranton,United States,AVP,KAVP,
Marana Regional,Tucson,United States,AVW,KAVQ,
West Memphis Municipal,West Memphis,United States,AWM,KAWM,
Algona Municipal,Algona,United States,AXG,KAXA,
Chandler Field,Alexandria,United States,AXN,KAXN,
Altus Quartz Mountain Regional,Altus,United States,AXS,KAXS,
Neil Armstrong,Wapakoneta,United States,AXV,KAXV,
Angel Fire,Angel Fire,United States,AXX,KAXX,
Ft Devens Moore Army Air Field,,United States,AYE,KAYE,
Waycross Ware County,Waycross,United States,AYS,KAYS,
Kalamazoo Battle Creek International,Kalamazoo,United States,AZO,KAZO,
Robert F Swinnie,Andrews,United States,ADR,KPHH,
Ohio University Snyder Field,Athens/Albany,United States,ATO,KUNI,
Airport,City,Country,IATA,ICAO,FAA
Atbasar,Atbasar,Kazakhstan,ATX,,
Pebbly Beach Seaplane Base,Avalon,United States,AVX,,L11
RAF Akrotiri,,Cyprus,AKT,LCRA,
Albacete-Los Llanos,Albacete,Spain,ABC,LEAB,
Alicante International,Alicante,Spain,ALC,LEAL,
Málaga,Málaga,Spain,AGP,LEMG,
Agen-La Garenne,Agen/La Garenne,France,AGF,LFBA,
Angoulême-Brie-Champniers,Angoulême/Brie/Champniers,France,ANG,LFBU,
Angers-Loire,Angers/Marcé,France,ANE,LFJR,
Ajaccio-Napoléon Bonaparte,Ajaccio/Napoléon Bonaparte,France,AJA,LFKJ,
Auxerre-Branches,Auxerre/Branches,France,AUF,LFLA,
Aurillac,Aurillac,France,AUR,LFLW,
Avignon-Caumont,Avignon/Caumont,France,AVN,LFMV,
Agrinion,Agrinion,Greece,AGQ,LGAG,
Dimokritos,Alexandroupolis,Greece,AXD,LGAL,
Airport,City,Country,IATA,ICAO,FAA
Eleftherios Venizelos International,Athens,Greece,ATH,LGAV,
Karpathos,Karpathos Island,Greece,AOK,LGKP,
Alghero / Fertilia,Alghero,Italy,AHO,LIEA,
Aosta,Aosta,Italy,AOT,LIMW,
Aviano Air Base,Aviano,Italy,AVB,LIPA,
Ancona / Falconara,Ancona,Italy,AOI,LIPY,
Arad International,Arad,Romania,ARW,LRAR,
Ascona,Ascona,Switzerland,ACO,LSZD,
St Gallen Altenrhein,Altenrhein,Switzerland,ACH,LSZR,
Etimesgut Air Base,Ankara,Turkey,ANK,LTAD,
Adana,Adana,Turkey,ADA,LTAF,
Afyon,Afyonkarahisar,Turkey,AFY,LTAH,
Antalya International,Antalya,Turkey,AYT,LTAI,
Kayseri Erkilet,Kayseri,Turkey,ASR,LTAU,
Adnan Menderes International,_zmir,Turkey,ADB,LTBJ,
Airport,City,Country,IATA,ICAO,FAA
Anadolu University,Eski_ehir,Turkey,AOE,LTBY,
A_rı,,Turkey,AJI,LTCO,
Adıyaman,Adıyaman,Turkey,ADF,LTCP,
Samaná El Catey International,Samana,Dominican Republic,AZS,MDCY,
Santa Cruz del Quiche,Santa Cruz del Quiche,Guatemala,AQB,MGQC,
Quezaltenango,Quezaltenango,Guatemala,AAZ,MGQZ,
Ailuk,Ailuk Island,Marshall Islands,AIM,,
Aur Island,Aur Atoll,Marshall Islands,AUL,,
Ahuas,Ahuas,Honduras,AHS,MHAH,
General Juan N Alvarez International,Acapulco,Mexico,ACA,MMAA,
Jesus Teran International,Aguascalientes,Mexico,AGU,MMAS,
Ciudad Acuña New International,Ciudad Acuña,Mexico,ACN,MMCC,
Atizapan De Zaragoza,,Mexico,AZP,MMJC,
Maximo Gomez,Ciego de Avila,Cuba,AVI,MUCA,
Abreojos,Abreojos,Mexico,AJS,,
Airport,City,Country,IATA,ICAO,FAA
Pablo L. Sidar,Apatzingán,Mexico,AZG,,
Andros Town,,Bahamas,ASD,MYAF,
Spring Point,Spring Point,Bahamas,AXP,MYAP,
Aitutaki,Aitutaki,Cook Islands,AIT,NCAI,
Enua,Atiu Island,Cook Islands,AIU,NCAT,
Abaiang,Abaiang,Kiribati,ABF,NGAB,
Abemama Atoll,Abemama Atoll,Kiribati,AEA,NGTB,
Arorae Island,Arorae Island,Kiribati,AIS,NGTR,
Buariki,Buariki,Kiribati,AAK,NGUK,
Asau,Asau,Samoa,AAU,NSAU,
Faleolo International,Apia,Samoa,APW,NSFA,
Anaa,,French Polynesia,AAA,NTGA,
Apataki,Apataki,French Polynesia,APK,NTGD,
Arutua,,French Polynesia,AXR,NTGU,
Ahe,Ahe Atoll,French Polynesia,AHE,NTHE,
Airport,City,Country,IATA,ICAO,FAA
Hiva Oa-Atuona,,French Polynesia,AUQ,NTMN,
Aneityum,Anatom Island,Vanuatu,AUY,NVVA,
Aniwa,Aniwa,Vanuatu,AWD,NVVB,
Auckland International,Auckland,New Zealand,AKL,NZAA,
Ardmore,Manurewa,New Zealand,AMZ,NZAR,
Ashburton Aerodrome,,New Zealand,ASG,NZAS,
Alexandra,Alexandra,New Zealand,ALR,NZLX,
Abha Regional,Abha,Saudi Arabia,AHB,OEAB,
Al Baha,,Saudi Arabia,ABT,OEBA,
Hafr Al Batin,Qaisumah,Saudi Arabia,AQI,OEPA,
Al-Jawf Domestic,Al-Jawf,Saudi Arabia,AJF,OESK,
Abadan,Abadan,Iran,ABD,OIAA,
Ahwaz,Ahwaz,Iran,AWZ,OIAW,
Ardabil,Ardabil,Iran,ADU,OITL,
Shahid Sadooghi,Yazd,Iran,AZD,OIYY,
Airport,City,Country,IATA,ICAO,FAA
Zabol,,Iran,ACZ,OIZB,
Queen Alia International,Amman,Jordan,AMM,OJAI,
Amman-Marka International,Amman,Jordan,ADJ,OJAM,
Aqaba King Hussein International,Aqaba,Jordan,AQJ,OJAQ,
Abu Dhabi International,Abu Dhabi,United Arab Emirates,AUH,OMAA,
Bateen,,United Arab Emirates,AZI,OMAD,
Al Ain International,Al Ain,United Arab Emirates,AAN,OMAL,
Abbottabad,Abbottabad,Pakistan,AAW,OPAB,
Aleppo International,Aleppo,Syria,ALP,OSAP,
Aden International,Aden,Yemen,ADE,OYAA,
Ataq,,Yemen,AXK,OYAT,
Al Ghaidah International,,Yemen,AAY,OYGD,
Achutupo,Achutupo,Panama,ACU,,
Alligandi,Alligandi,Panama,AIL,,
Puerto Armuelles,Puerto Armuelles,Panama,AML,,
Airport,City,Country,IATA,ICAO,FAA
Atka,Atka,United States,AKB,PAAK,
Casco Cove Coast Guard Station,Attu,United States,ATU,PAAT,
Adak,Adak Island,United States,ADK,PADK,
Kodiak,Kodiak,United States,ADQ,PADQ,
Ambler,Ambler,United States,ABL,PAFM,
Angoon Seaplane Base,Angoon,United States,AGN,PAGN,
Akhiok,Akhiok,United States,AKK,PAKH,
King Salmon,King Salmon,United States,AKN,PAKN,
Anaktuvuk Pass,Anaktuvuk Pass,United States,AKP,PAKP,
Ted Stevens Anchorage International,Anchorage,United States,ANC,PANC,
Aniak,Aniak,United States,ANI,PANI,
Annette Island,Annette,United States,ANN,PANT,
Anvik,Anvik,United States,ANV,PANV,
Arctic Village,Arctic Village,United States,ARC,PARC,
Atqasuk Edward Burnell Sr Memorial,Atqasuk,United States,ATK,PATQ,
Airport,City,Country,IATA,ICAO,FAA
Alakanuk,Alakanuk,United States,AUK,PAUK,
Wainwright,Wainwright,United States,AIN,PAWI,
Akiak,Akiak,United States,AKI,PFAK,
Allakaket,Allakaket,United States,AET,PFAL,
Anguganak,Anguganak,Papua New Guinea,AKG,,
Wake Island Airfield,Wake Island,United States Minor Outlying Islands,AWK,PWAK,
Asahikawa,Asahikawa / Hokkaid_,Japan,AKJ,RJEC,
Amami,Amami,Japan,ASJ,RJKA,
Aomori,Aomori,Japan,AOJ,RJSA,
Akita,Akita,Japan,AXT,RJSK,
Aguni,Aguni,Japan,AGJ,RORA,
Allah Valley,Surallah,Philippines,AAV,RPMA,
Jorge Newbery Airpark,Buenos Aires,Argentina,AEP,SABE,
Zapala,Zapala,Argentina,APZ,SAHZ,
Suboficial Ay Santiago Germano,San Rafael,Argentina,AFA,SAMR,
Airport,City,Country,IATA,ICAO,FAA
Paso De Los Libres,Paso de los Libres,Argentina,AOL,SARL,
D. Casimiro Szlapelis,Alto Rio Senguerr,Argentina,ARR,SAVR,
Araraquara,Araraquara,Brazil,AQA,SBAQ,
Santa Maria,Aracaju,Brazil,AJU,SBAR,
Alta Floresta,Alta Floresta,Brazil,AFL,SBAT,
Araçatuba,Araçatuba,Brazil,ARU,SBAU,
Araxá,Araxá,Brazil,AAX,SBAX,
Altamira,Altamira,Brazil,ATM,SBHT,
Chacalluta,Arica,Chile,ARI,SCAR,
Cerro Moreno,Antofagasta,Chile,ANF,SCFA,
Chachoán,Ambato,Ecuador,ATF,SEAM,
Silvio Pettirossi International,Asunción,Paraguay,ASU,SGAS,
Juan De Ayolas,Ayolas,Paraguay,AYO,SGAY,
Guarani International,Ciudad del Este,Paraguay,AGT,SGES,
Arica,Arica,Colombia,ACM,,
Airport,City,Country,IATA,ICAO,FAA
Arboletes,Arboletes,Colombia,ARO,,
Yari,Yari,Colombia,AYI,,
Aguaclara,Aguaclara,Colombia,ACL,,
Ayacucho,Ayacucho,Colombia,AYC,,
Ayapel,Ayapel,Colombia,AYA,,
Zapatoca,Zapatoca,Colombia,AZT,,
Acaricuara,Acaricuara,Colombia,ARF,,
Araracuara,Araracuara,Colombia,ACR,SKAC,
Alcides Fernández,Acandí,Colombia,ACD,SKAD,
Amalfi,Amalfi,Colombia,AFI,SKAM,
Andes,Andes,Colombia,ADN,SKAN,
Gomez Nino Apiay Air Base,Apiay,Colombia,API,SKAP,
El Eden,Armenia,Colombia,AXM,SKAR,
Gustavo Rojas Pinilla International,San Andrés,Colombia,ADZ,SKSP,
Santiago Perez,Arauca,Colombia,AUC,SKUC,
Airport,City,Country,IATA,ICAO,FAA
Yaguara,San Vicente Del Caguán,Colombia,AYG,SKYA,
Apolo,Apolo,Bolivia,APB,SLAP,
Ascención De Guarayos,Ascensión de Guarayos,Bolivia,ASC,SLAS,
Albina,Albina,Suriname,ABN,SMBN,
Wageningen Airstrip,Wageningen,Suriname,AGI,SMWA,
Alto Parnaíba,Alto Parnaíba,Brazil,APY,SNAI,
Arapiraca,Arapiraca,Brazil,APQ,SNAL,
Cirilo Queiróz,Almenara,Brazil,AMJ,SNAR,
Marcelo Pires Halzhausen,Assis,Brazil,AIF,SBAS,
San Juan Aposento,San Juan Aposento,Perú,APE,SPAO,
Alerta,Fortaleza,Perú,ALD,SPAR,
Teniente General Gerardo Pérez Pinedo,Atalaya,Perú,ATG,SPAY,
Coronel FAP Alfredo Mendivil Duarte,Ayacucho,Perú,AYP,SPHO,
Andahuaylas,Andahuaylas,Perú,ANS,SPHY,
Comandante FAP German Arias Graziani,Anta,Perú,ATA,SPHZ,
Airport,City,Country,IATA,ICAO,FAA
Rodríguez Ballón International,Arequipa,Perú,AQP,SPQU,
Cayana Airstrip,Awaradam,Suriname,AAJ,SMCA,
Apucarana,Apucarana,Brazil,APU,SSAP,
Alegrete Novo,Alegrete,Brazil,ALQ,SSLT,
Arapongas,Arapongas,Brazil,APX,SSOG,
Xanxerê,Xanxerê,Brazil,AXE,SSXX,
Arapoti,Arapoti,Brazil,AAG,SSYA,
Artigas International,Artigas,Uruguay,ATI,SUAG,
Oswaldo Guevara Mujica,Acarigua,Venezuela,AGV,SVAC,
Anaco,Anaco,Venezuela,AAO,SVAN,
Estância das Cascatas,Aragarças,Brazil,ARS,SWEC,
Araguaína,Araguaína,Brazil,AUX,SWGN,
Nova Vida,Ariquemes,Brazil,AQM,SWNI,
Anápolis,Anápolis,Brazil,APS,SWNS,
Arraias,Arraias,Brazil,AAI,SWRA,
Airport,City,Country,IATA,ICAO,FAA
Aripuanã,Aripuanã,Brazil,AIR,SWRP,
Aishalton,Aishalton,Guyana,AHL,SYAH,
V.C. Bird International,St. George,Antigua and Barbuda,ANU,TAPA,
Antonio Nery Juarbe Pol,Arecibo,Puerto Rico,ARE,TJAB,
Queen Beatrix International,Oranjestad,Aruba,AUA,TNCA,
Clayton J. Lloyd International,The Valley,Anguilla,AXA,TQPF,
Almaty,Almaty,Kazakhstan,ALA,UAAA,
Aktobe,Aktyuinsk,Kazakhstan,AKX,UATT,
Arkalyk North,Arkalyk,Kazakhstan,AYK,UAUR,
Aldan,Aldan,Russia,ADH,UEEA,
Talagi,Archangelsk,Russia,ARH,ULAA,
Amderma,Amderma,Russia,AMV,ULDD,
Abakan,Abakan,Russia,ABA,UNAA,
Achinsk,Achinsk,Russia,ACS,UNKS,
Anapa,Anapa,Russia,AAQ,URKA,
Airport,City,Country,IATA,ICAO,FAA
Sochi International,Sochi,Russia,AER,URSS,
Astrakhan,Astrakhan,Russia,ASF,URWA,
Ashgabat,Ashgabat,Turkmenistan,ASB,UTAA,
Andizhan,Andizhan,Uzbekistan,AZN,UTKA,
Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,VAAH,
Akola,,India,AKD,VAAK,
Lengpui,Aizawl,India,AJL,VELP,
Agra,,India,AGR,VIAG,
"Sri Guru Ram Dass Jee International, Amritsar",Amritsar,India,ATQ,VIAR,
Attopeu,Attopeu,Laos,AOU,VLAP,
Agatti,,India,AGX,VOAT,
Sittwe,Sittwe,Burma,AKY,VYSW,
Selaparang,Mataram-Lombok Island,Indonesia,AMI,WADA,
Arso,Arso-Papua Island,Indonesia,ARJ,WAJA,
Amahai,Amahai-Seram Island,Indonesia,AHI,WAPA,
Airport,City,Country,IATA,ICAO,FAA
"Pattimura, Ambon",Ambon,Indonesia,AMQ,WAPP,
Mali,Alor Island,Indonesia,ARD,WATM,
Aek Godang,Padang Sidempuan-Sumatra Island,Indonesia,AEG,WIME,
Sultan Abdul Halim,Alor Satar,Malaysia,AOR,WMKA,
Atauro,Atauro,Timor-Leste,AUT,WPAT,
Haliwen,Atambua-Timor Island,Indonesia,ABU,WRKA,
Albany,Albany,Australia,ALH,YABA,
Abingdon Downs,,Australia,ABG,YABI,
Alton Downs,,Australia,AWN,YADS,
Augustus Downs,,Australia,AUD,YAGD,
Alexandria Homestead,,Australia,AXL,YALX,
Aramac,,Australia,AXC,YAMC,
Andamooka,Andamooka,Australia,ADO,YAMK,
Ammaroo,,Australia,AMX,YAMM,
Amata,,Australia,AMT,YAMT,
Airport,City,Country,IATA,ICAO,FAA
Anthony Lagoon,,Australia,AYL,YANL,
Alpha,,Australia,ABH,YAPH,
Ararat,,Australia,ARY,YARA,
Armidale,Armidale,Australia,ARM,YARM,
Arrabury,,Australia,AAB,YARY,
Aurukun,,Australia,AUU,YAUR,
Austral Downs,,Australia,AWP,YAUS,
Auvergne,,Australia,AVG,YAUV,
Ayers Rock Connellan,Ayers Rock,Australia,AYQ,YAYE,
