1,PV 4020,اويل سيل صباب 9 مم مرسيدس ملاكي - كلنجر,0,ÓáÚå,0,0,0,0,0,0,0,0,0,0,0,0,1.75,5,منتج كامل,1,وحده,7,المانيا,2,ملاكي,5,اويل سيل صباب+صره+عجل,18,كلنجر,20,ECO GOM,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
2,9414,طقم كاوتشه مياه افيكو - ليما,0,ÓáÚå,0,0,0,0,0,1,0,1,0,0,1,0,0,5,منتج كامل,7,طقم,5,ايطاليا,1,نقل,6,كاوتش/قواعد,5,ليما,29,LE.MA,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
3,035022B10.H,صباب شكمان نصر714 - HTK,0,ÓáÚå,0,0,0,0,0,504,0,504,0,0,504,0,0,5,منتج كامل,1,وحده,7,المانيا,1,نقل,7,صبابات/دلايل,23,HTK,18,TECNO STAR,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
4,035021B10.H,صباب هواء نصر714 - HTK,0,ÓáÚå,0,0,0,0,0,498,0,498,0,0,498,0,0,5,منتج كامل,1,وحده,7,المانيا,1,نقل,7,صبابات/دلايل,23,HTK,18,TECNO STAR,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
5,035024B10.H,صباب هواء 614 - HTK,0,ÓáÚå,0,0,1504,0,1504,1002,0,1002,0,0,1002,0,0,5,منتج كامل,1,وحده,7,المانيا,1,نقل,7,صبابات/دلايل,23,HTK,18,TECNO STAR,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
6,035023B10.H,صباب شكمان نصر614 - HTK,0,ÓáÚå,0,0,1506,0,1506,1003,0,1003,0,0,1003,0,0,5,منتج كامل,1,وحده,7,المانيا,1,نقل,7,صبابات/دلايل,23,HTK,18,TECNO STAR,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
7,035038B10.H,صباب شكمان نصر912 - HTK,0,ÓáÚå,0,0,34,0,34,73,0,73,0,0,73,0,0,5,منتج كامل,1,وحده,7,المانيا,1,نقل,7,صبابات/دلايل,23,HTK,18,TECNO STAR,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
8,035037B10.H,صباب هواء نصر 912 - HTK,0,ÓáÚå,0,0,28,0,28,12,0,12,0,0,12,0,0,5,منتج كامل,1,وحده,7,المانيا,1,نقل,7,صبابات/دلايل,23,HTK,18,TECNO STAR,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
9,040060B7.T,صباب هواء افيكو 682 - تكنوستار,0,ÓáÚå,0,0,0,0,0,0,0,0,0,0,0,0,0,5,منتج كامل,1,وحده,5,ايطاليا,1,نقل,7,صبابات/دلايل,20,تكنوستار,18,TECNO STAR,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
10,040057.T,صباب شكمان افيكو 682 - تكنوستار,0,ÓáÚå,0,0,0,0,0,0,0,0,0,0,0,0,0,5,منتج كامل,1,وحده,5,ايطاليا,1,نقل,7,صبابات/دلايل,20,تكنوستار,18,TECNO STAR,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
11,102041,طقم كاوتشه مياه افيكو - لينا ريكامبي,0,ÓáÚå,0,0,0,0,0,1,0,1,0,0,1,0,0,5,منتج كامل,7,طقم,5,ايطاليا,1,نقل,6,كاوتش/قواعد,79,لينا ريكامبي,12,لينا ريكمبي,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
12,4210.02,طقم كاوتشه مياه افيكو - ليما,0,ÓáÚå,0,0,0,0,0,1,0,1,0,0,1,0,0,5,منتج كامل,7,طقم,5,ايطاليا,1,نقل,6,كاوتش/قواعد,5,ليما,29,LE.MA,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
13,1907851 - 205810,طقم جوان 104 مم تربو 4 سلندر - اصلي,0,ÓáÚå,0,0,0,0,0,10,0,10,0,0,10,0,0,5,منتج كامل,7,طقم,5,ايطاليا,1,نقل,8,جوانات واطقم-اساتك,10,اصلي,39,SIDEXPORT,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
14,61319221,طلمبه زيت 966 افيكو - اصلي,0,ÓáÚå,0,0,0,0,0,0,0,0,0,0,0,0,0,5,منتج كامل,1,وحده,5,ايطاليا,1,نقل,10,طلمبات /رداخات/اصلاحاتهم,10,اصلي,2,MEK DIESEL,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
15,102052,طقم كاوتشه افيكو- لينا ريكامبي,0,ÓáÚå,0,0,0,0,0,1,0,1,0,0,1,0,0,5,منتج كامل,7,طقم,5,ايطاليا,1,نقل,6,كاوتش/قواعد,79,لينا ريكامبي,12,لينا ريكمبي,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
16,102219 - 98464627,كاوتشه افيكو - لينا ريكمبي,0,ÓáÚå,0,0,0,0,0,0,0,0,0,0,0,0,0,5,منتج كامل,1,وحده,5,ايطاليا,1,نقل,6,كاوتش/قواعد,79,لينا ريكامبي,12,لينا ريكمبي,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
17,060036.T,صباب مرسيدس 360 - تكنوستار,0,ÓáÚå,0,0,6,0,6,204,0,204,0,0,204,0,25,5,منتج كامل,1,وحده,5,ايطاليا,1,نقل,7,صبابات/دلايل,20,تكنوستار,18,TECNO STAR,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
18,060035.T,صباب هواء مرسيدس 360 - تكنوستار,0,ÓáÚå,0,0,6,0,6,194,0,194,0,0,194,0,35,5,منتج كامل,1,وحده,5,ايطاليا,1,نقل,7,صبابات/دلايل,20,تكنوستار,18,TECNO STAR,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0,غير محدد,0
